City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,januaria,-15.4833,-44.3667,33.8,12,0,3.23,BR,1724003511
84,punta arenas,-53.15,-70.9167,7.06,76,40,10.29,CL,1724003241
85,saint-joseph,-21.3667,55.6167,20.21,77,27,8.5,RE,1724003513
86,iqaluit,63.7506,-68.5145,12.85,66,75,5.66,CA,1724003514
87,khrystynivka,48.8249,29.9681,25.79,32,96,1.95,UA,1724003515
88,yelenendorf,40.5869,46.3158,21.73,64,40,3.09,AZ,1724003516
89,yauya,-8.9833,-77.3,17.46,30,31,2.21,PE,1724003518
90,udachny,66.4167,112.4,14.13,63,39,3.32,RU,1724003519
91,al kharijah,25.4514,30.5464,34.26,11,44,3.88,EG,1724003520
92,tiksi,71.6872,128.8694,9.64,94,59,3.95,RU,1724003521
93,rocha,-34.4833,-54.3333,14.49,92,100,4.34,UY,1724003366
94,coquimbo,-29.9533,-71.3436,17.21,74,75,3.09,CL,1724003312
95,latakia,35.5148,35.7768,28.1,77,0,3.73,SY,1724003525
96,monroe,43.1501,-77.6831,27.89,73,75,4.12,US,1724003526
97,holualoa,19.6228,-155.9522,24.91,89,75,2.06,US,1724003527
98,namsos,64.4662,11.4957,11.95,94,75,0.51,NO,1724003528
99,west island,-12.1568,96.8225,25.99,78,20,4.12,CC,1724003529
100,colonia,50.9333,6.95,22.81,70,75,1.54,DE,1724003530
101,umba,66.6871,34.3429,12.42,91,61,1.72,RU,1724003532
102,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,81,75,1.0,RU,1724003534
103,la mira,18.035,-102.3266,30.41,63,35,3.12,MX,1724003535
104,machico,32.7,-16.7667,29.35,48,20,10.8,PT,1724003536
105,vernon,50.2581,-119.2691,24.4,50,42,0.51,CA,1724003538
106,margaret river,-33.95,115.0667,13.11,81,100,9.09,AU,1724003539
107,tazovsky,67.4667,78.7,10.99,96,100,2.69,RU,1724003540
108,gargalianoi,37.0667,21.6333,25.34,75,0,1.92,GR,1724003541
109,nyurba,63.2842,118.3319,11.67,57,42,2.17,RU,1724003542
110,uturoa,-16.7333,-151.4333,25.06,80,84,12.59,PF,1724003543
111,angaur state,6.906,134.13,28.63,72,24,1.28,PW,1724003545
112,paita,-5.0892,-81.1144,21.07,68,10,7.19,PE,1724003546
113,viqueque,-8.8673,126.3658,22.67,81,94,0.72,TL,1724003547
114,kapuskasing,49.4169,-82.4331,19.0,55,75,6.69,CA,1724003548
115,ciudad melchor muzquiz,27.8833,-101.5167,33.71,39,4,4.81,MX,1724003549
116,mirny,62.5353,113.9611,13.05,68,60,2.09,RU,1724003550
117,dongola,19.1667,30.4833,40.4,12,97,3.97,SD,1724003552
118,horta,38.5333,-28.6333,26.8,78,20,3.09,PT,1724003553
119,encarnacion,-27.3333,-55.9,31.02,45,5,5.14,PY,1724003554
120,anadyr,64.75,177.4833,2.28,87,0,5.0,RU,1724003555
121,constantia,44.1833,28.65,24.38,70,25,2.39,RO,1724003556
122,polygyros,40.3744,23.4383,25.37,66,15,0.53,GR,1724003557
123,nema,57.5067,50.5011,13.01,97,97,2.07,RU,1724003559
124,huruta,8.15,39.35,16.45,81,38,3.86,ET,1724003560
125,chernyshevskiy,63.0128,112.4714,13.16,63,49,1.58,RU,1724003561
126,amursk,50.2261,136.8994,11.18,75,56,2.24,RU,1724003563
127,tome acu,-2.4189,-48.1522,37.96,24,37,0.76,BR,1724003565
128,laguna,38.421,-121.4238,24.7,60,0,2.57,US,1724003566
129,ad dilam,23.9915,47.1627,40.05,11,51,6.94,SA,1724003567
130,albu kamal,34.45,40.9186,36.69,18,0,2.89,SY,1724003568
131,tura,25.5198,90.2201,23.44,97,94,2.12,IN,1724003569
132,maxixe,-23.8597,35.3472,18.9,82,0,1.03,MZ,1724003570
133,recani,31.2846,-4.2688,41.64,8,0,2.73,MA,1724003572
134,antalaha,-14.9003,50.2788,21.18,84,3,4.53,MG,1724003573
135,hermanus,-34.4187,19.2345,11.56,85,2,3.72,ZA,1724003574
136,nova vicosa,-17.8919,-39.3719,26.27,60,0,4.0,BR,1724003575
137,gereida,11.2811,25.1414,24.27,84,98,4.63,SD,1724003576
138,remire-montjoly,4.9167,-52.2667,33.02,55,40,1.54,GF,1724003577
139,selfoss,63.9331,-20.9971,9.47,56,76,5.67,IS,1724003579
140,port alfred,-33.5906,26.891,17.37,76,9,2.61,ZA,1724003580
141,bucerias,20.75,-105.3333,32.77,70,64,1.76,MX,1724003536
142,luuq,3.7938,42.5445,29.92,40,42,8.89,SO,1724003582
143,praia da vitoria,38.7333,-27.0667,28.2,74,75,0.89,PT,1724003583
144,deschutes river woods,43.9915,-121.3584,20.01,48,0,4.63,US,1724003584
145,mahina,-17.5065,-149.489,25.87,78,75,1.03,PF,1724003586
146,nagqu,31.5,92.0,-0.39,63,1,1.32,CN,1724003587
147,hamilton,39.1834,-84.5333,27.34,71,100,4.12,US,1724003447
148,inhambane,-23.865,35.3833,18.99,82,0,1.03,MZ,1724003589
149,nova sintra,14.8667,-24.7167,27.32,82,56,4.81,CV,1724003590
150,kavieng,-2.5744,150.7967,27.74,81,80,7.04,PG,1724003591
151,walvis bay,-22.9575,14.5053,15.13,63,11,4.88,NA,1724003593
152,tsiombe,-25.3,45.4833,19.97,70,0,6.23,MG,1724003594
153,umarkot,25.3616,69.7362,29.47,72,100,6.47,PK,1724003595
154,chai badan,15.2,101.1333,26.13,91,100,2.31,TH,1724003596
155,khandyga,62.6667,135.6,8.82,71,60,1.93,RU,1724003597
156,dudinka,69.4058,86.1778,15.8,71,91,3.14,RU,1724003598
157,souillac,-20.5167,57.5167,22.21,73,20,6.17,MU,1724003600
158,wailua homesteads,22.0669,-159.378,25.44,81,100,6.17,US,1724003601
159,jayapura,-2.5333,140.7,23.66,93,100,1.97,ID,1724003602
160,aden,12.7794,45.0367,30.09,71,11,6.68,YE,1724003603
161,hadibu,12.65,54.0333,26.08,78,62,8.34,YE,1724003605
162,colchani,-20.3,-66.9333,13.65,34,0,7.08,BO,1724003607
163,nadym,65.5333,72.5167,12.94,96,100,2.59,RU,1724003608
164,inirida,3.8653,-67.9239,34.97,41,4,0.96,CO,1724003609
165,guiuan,11.0333,125.7247,28.8,74,100,3.9,PH,1724003610
166,arraial do cabo,-22.9661,-42.0278,27.98,61,0,6.69,BR,1724003328
167,garoowe,8.4054,48.4845,30.09,36,54,8.55,SO,1724003613
168,kananga,-5.8958,22.4178,27.28,23,51,0.96,CD,1724003614
169,puerto baquerizo moreno,-0.9,-89.6,22.55,68,100,6.69,EC,1724003616
170,nar'yan-mar,67.6713,53.087,7.26,90,38,3.65,RU,1724003617
171,belomorsk,64.5232,34.7668,12.9,91,4,1.56,RU,1724003618
172,port lincoln,-34.7333,135.8667,13.23,81,72,7.43,AU,1724003620
173,taungdwingyi,20.0167,95.55,24.39,94,100,2.95,MM,1724003621
174,el granada,37.5027,-122.4694,21.67,80,40,4.12,US,1724003622
175,shingu,33.7333,135.9833,25.69,82,100,2.24,JP,1724003623
176,kapa'a,22.0752,-159.319,26.18,77,100,6.17,US,1724003624
177,chetouane,34.9213,-1.2951,31.8,26,0,2.57,DZ,1724003625
178,arkhangel'sk,64.5401,40.5433,14.06,100,100,4.0,RU,1724003627
179,afaahiti,-17.75,-149.2833,22.97,81,93,12.61,PF,1724003628
180,mount pearl,47.5166,-52.7813,28.03,49,75,9.26,CA,1724003629
181,congonhas,-20.4997,-43.8578,30.92,16,0,4.18,BR,1724003630
182,turabah,21.2141,41.6331,34.31,22,90,10.1,SA,1724003631
183,vilyuysk,63.7553,121.6247,11.48,52,54,1.95,RU,1724003632
184,lewiston orchards,46.3804,-116.9754,28.61,32,0,2.57,US,1724003634
185,kudahuvadhoo,2.6708,72.8944,27.98,81,100,7.1,MV,1724003635
186,nellore,14.4333,79.9667,29.45,78,45,3.88,IN,1724003636
187,sola,-13.8833,167.55,25.93,88,76,7.01,VU,1724003637
188,avarua,-21.2078,-159.775,22.03,78,75,5.66,CK,1724003638
189,mali,12.079,-12.2982,15.91,95,100,1.94,GN,1724003598
190,cockburn town,21.4612,-71.1419,32.98,70,40,3.09,TC,1724003641
191,mejit,10.2753,170.8646,28.11,78,93,5.45,MH,1724003642
192,aykhal,66.0,111.5,13.02,69,36,2.84,RU,1724003643
193,whangarei,-35.7317,174.3239,10.72,69,63,5.48,NZ,1724003644
194,timimoun,29.2639,0.231,39.21,29,40,7.2,DZ,1724003645
195,ola,59.5833,151.2833,9.35,83,93,0.05,RU,1724003646
196,hotan,37.0997,79.9269,33.08,13,98,1.52,CN,1724003648
197,chagoda,59.164,35.3285,16.75,69,52,1.95,RU,1724003649
198,zyrya,40.3661,50.2917,26.05,76,0,5.13,AZ,1724003650
199,cabo san lucas,22.8909,-109.9124,29.94,59,14,2.95,MX,1724003651
200,whitehorse,60.7161,-135.0538,19.5,59,20,5.14,CA,1724003652
201,lauro de freitas,-12.8944,-38.3272,27.01,61,40,5.14,BR,1724003536
202,carnforth,54.1167,-2.7667,18.1,72,67,3.13,GB,1724003655
203,blenheim,-41.516,173.9528,1.96,95,100,1.46,NZ,1724003550
204,lata,40.1629,-8.3327,24.2,51,11,3.79,PT,1724003657
205,hobyo,5.3505,48.5268,25.02,80,98,11.9,SO,1724003658
206,okhotsk,59.3833,143.3,11.78,80,51,3.07,RU,1724003659
207,moranbah,-22.0016,148.0466,15.48,49,0,3.75,AU,1724003662
208,muana,-1.5283,-49.2167,34.94,36,8,1.99,BR,1724003663
209,santana,-0.0583,-51.1817,33.1,58,40,4.12,BR,1724003664
210,magadan,59.5667,150.8,9.36,84,96,1.82,RU,1724003665
211,arimalam,10.2667,78.9,27.66,86,98,5.06,IN,1724003666
212,utrik,11.2278,169.8474,28.09,80,86,6.4,MH,1724003668
213,filipstad,59.7124,14.1683,15.51,67,77,4.48,SE,1724003670
214,sergeyevka,53.88,67.4158,12.98,94,76,3.77,KZ,1724003671
215,prineville,44.2999,-120.8345,21.38,45,40,4.63,US,1724003474
216,jamestown,42.097,-79.2353,24.8,69,20,6.69,US,1724003444
217,karratha,-20.7377,116.8463,19.49,39,0,4.06,AU,1724003675
218,lazaro cardenas,17.9583,-102.2,30.36,65,33,2.67,MX,1724003676
219,yinchuan,38.4681,106.2731,24.68,31,0,2.1,CN,1724003677
220,ilulissat,69.2167,-51.1,6.01,70,75,2.57,GL,1724003678
221,badger,64.8,-147.5333,19.28,75,20,4.12,US,1724003679
222,ovar,40.8586,-8.6251,19.02,94,100,5.14,PT,1724003680
223,vredendal,-31.6683,18.5012,13.58,74,0,2.89,ZA,1724003682
224,ryotsu-minato,38.0833,138.4333,22.62,89,9,1.94,JP,1724003683
225,lebu,-37.6167,-73.65,9.12,60,55,6.43,CL,1724003684
226,paraiso,9.8383,-83.8656,25.23,64,100,2.01,CR,1724003685
227,mena,51.5217,32.2157,24.3,30,0,2.59,UA,1724003686
